Seed,Ship Wins,Fish Wins,Ties,Average Turns per Game,Average Score Gap
0,593914,223543,182543,26.30739,1.256812
50,593160,224300,182540,26.31613,1.253898
100,594452,223023,182525,26.293958,1.260192
150,594188,223732,182080,26.308723,1.257748
200,594640,222844,182516,26.302618,1.260558
250,594020,223073,182907,26.309861,1.2594
300,593543,223427,183030,26.309604,1.256266
350,593394,223431,183175,26.321333,1.25422
400,594433,222892,182675,26.300432,1.261106
450,594643,223045,182312,26.296138,1.26199
500,593793,223442,182765,26.305754,1.257526
550,594303,223134,182563,26.294621,1.260728
600,594425,223555,182020,26.303651,1.257918
650,593734,222948,183318,26.300154,1.259738
700,594110,223011,182879,26.299142,1.259154
750,594566,223090,182344,26.294325,1.259494
800,595727,222297,181976,26.284782,1.267122
850,594296,222965,182739,26.292145,1.260902
900,593755,223629,182616,26.303274,1.258436
950,593951,223071,182978,26.305115,1.258912
