Ship Position, Fish Position, Sea Position, Ship Wins, Fish Wins, Ties, Average Turns, Average Score Gap
-7,-1,6,691526,158378,150096,27.703345,1.854072
-7,-1,7,768946,111601,119453,28.830539,2.337016
-7,-1,8,828563,78800,92637,29.731058,2.7206
-7,0,6,484804,309482,205714,29.673986,0.585986
-7,0,7,591095,227879,181026,31.402495,1.239236
-7,0,8,681898,165968,152134,32.819052,1.793908
-7,1,6,270547,515705,213748,30.228257,-0.811738
-7,1,7,382735,401159,216106,32.75588,-0.061826
-7,1,8,491357,306114,202529,34.825399,0.62211
-6,-1,6,784649,101128,114223,23.729959,2.436388
-6,-1,7,845425,68805,85770,24.579979,2.829136
-6,-1,8,889500,46990,63510,25.248383,3.12736
-6,0,6,593463,223992,182545,26.30741,1.255034
-6,0,7,691526,158378,150096,27.703345,1.854072
-6,0,8,768946,111601,119453,28.830539,2.337016
-6,1,6,364666,415348,219986,27.558084,-0.171158
-6,1,7,484804,309482,205714,29.673986,0.585986
-6,1,8,591095,227879,181026,31.402495,1.239236
-5,-1,6,866264,57074,76662,19.483597,2.964456
-5,-1,7,908183,37543,54274,20.07644,3.253786
-5,-1,8,936860,24863,38277,20.5258,3.463272
-5,0,6,703985,148166,147849,22.645555,1.93136
-5,0,7,784649,101128,114223,23.729959,2.436388
-5,0,8,845425,68805,85770,24.579979,2.829136
-5,1,6,474853,314651,210496,24.577961,0.530908
-5,1,7,593463,223992,182545,26.30741,1.255034
-5,1,8,691526,158378,150096,27.703345,1.854072
